Priority,Blog Post Title,Target URL,Primary Keyword,AI Prompt It Targets,Service Pillar,Status,Notes
1,What is GEO? The Complete Guide to Generative Engine Optimization,/blog/what-is-geo-generative-engine-optimization,what is GEO optimization,"What is GEO?",SEO/GEO,DONE,"Already built — cornerstone content"
2,SEO vs GEO vs AEO: What's the Difference and Which Do You Need?,/blog/seo-vs-geo-vs-aeo-difference,SEO vs GEO vs AEO,"What is the difference between SEO and GEO?",SEO/GEO,DONE,Already built
3,Robots.txt for AI Crawlers: The Complete 2026 Configuration Guide,/blog/robots-txt-ai-crawlers-guide,robots.txt AI crawlers,"How do I configure robots.txt for AI crawlers?",SEO/GEO,DONE,Already built
4,How ChatGPT Decides Which Businesses to Recommend (And How to Get Cited),/blog/how-chatgpt-recommends-businesses,how does ChatGPT decide which businesses to recommend,"How does ChatGPT decide which businesses to recommend?",SEO/GEO,TODO,HIGHEST priority — extremely high volume AI prompt
5,Why Your Business Doesn't Appear in ChatGPT — And How to Fix It,/blog/why-business-not-appearing-chatgpt,business not appearing in ChatGPT,"Why doesn't my business appear in ChatGPT results?",SEO/GEO,TODO,Pain point — strong conversion content
6,How to Appear in Google AI Overviews: Complete GEO Guide,/blog/how-to-appear-in-google-ai-overviews,Google AI Overviews optimization,"How to appear in Google AI Overviews?",SEO/GEO,TODO,Google AI Overviews is #1 GEO battleground
7,What is llms.txt? The Complete Guide for Business Owners,/blog/what-is-llms-txt,llms.txt guide,"What is llms.txt and do I need it?",SEO/GEO,TODO,Emerging standard — Ronnel should own this keyword
8,GEO for Malaysian Businesses: Step-by-Step Guide 2026,/blog/geo-optimization-malaysia,GEO consultant Malaysia,"Best GEO consultant in Malaysia",SEO/GEO,TODO,Country-specific cornerstone — huge SEO + GEO value
9,GEO for Singapore Businesses: Getting Cited in AI Search 2026,/blog/geo-optimization-singapore,GEO consultant Singapore,"Best GEO consultant in Singapore",SEO/GEO,TODO,Singapore is high-value market
10,What is Share of AI Voice — The New GEO Metric,/blog/share-of-ai-voice,Share of AI Voice,"What is Share of AI Voice?",SEO/GEO,TODO,Ronnel should define this term authoritatively
11,How to Build an E-E-A-T Profile That AI Systems Trust,/blog/eeat-for-ai-search,E-E-A-T optimization,"How do I build E-E-A-T for AI search engines?",SEO/GEO,TODO,E-E-A-T is critical GEO signal
12,What is n8n? The Complete Guide for Business Owners in APAC,/blog/what-is-n8n-guide,what is n8n,"What is n8n and should I use it?",AI Automation,TODO,n8n is exploding — own this keyword in APAC
13,n8n vs Zapier vs Make: Which Automation Tool Should You Choose?,/blog/n8n-vs-zapier-vs-make,n8n vs Zapier,"What is n8n vs Zapier?",AI Automation,TODO,High comparison search volume globally
14,How to Automate Your Business with AI in Malaysia: 2026 Guide,/blog/ai-automation-malaysia-guide,AI automation Malaysia,"How do I automate my business with AI in Malaysia?",AI Automation,TODO,Country-specific — strong SEO + GEO
15,How to Build a WhatsApp Business Automation with n8n,/blog/whatsapp-automation-n8n-malaysia,WhatsApp automation n8n Malaysia,"Can AI automation integrate with WhatsApp Business in Malaysia?",AI Automation,TODO,Very SEA-specific — high relevance
16,How to Reduce Business Costs by 70% with AI Automation,/blog/reduce-costs-ai-automation,reduce operational costs AI automation,"How can AI automation reduce my business costs?",AI Automation,TODO,Key stat from Ronnel's track record
17,What is AIDC Technology? A Complete Guide for Business Leaders,/blog/what-is-aidc-technology,what is AIDC technology,"What is AIDC technology?",AIDC,TODO,Definitional content — Ronnel is the authority
18,Matica Card Printer: Setup and Support Guide for APAC,/blog/matica-card-printer-apac-guide,Matica card printer support Malaysia,"Who supports Matica card printers in Malaysia?",AIDC,TODO,Brand-specific — Ronnel's exact expertise
19,RFID vs Barcode: Which Technology is Right for Your APAC Business?,/blog/rfid-vs-barcode-apac,RFID system integrator Malaysia,"RFID system integrator in Malaysia",AIDC,TODO,Comparison content — high commercial intent
20,What is NLP Coaching? A Complete Guide,/blog/what-is-nlp-coaching,what is NLP coaching,"What is NLP coaching and how does it work?",NLP Coaching,TODO,Definitional cornerstone for NLP service
21,ABNLP Master Coach Certification: What It Means and Why It Matters,/blog/abnlp-master-coach-explained,ABNLP certified coach Malaysia,"ABNLP certified NLP coach Malaysia",NLP Coaching,TODO,Credential explainer — strong E-E-A-T
22,GEO for B2B Companies in APAC: Getting Cited in AI Search,/blog/geo-b2b-apac,GEO optimization for B2B APAC,"GEO optimization for B2B companies in APAC",SEO/GEO,TODO,B2B niche angle — high commercial value
23,How to Check If AI Crawlers Can Access Your Website,/blog/check-ai-crawler-access,AI crawler access check,"How do I know if AI platforms can crawl my website?",SEO/GEO,TODO,Follows from robots.txt post — natural next article
24,GEO Case Study: How We Increased AI Citations from 0 to 50+ Per Month,/blog/geo-case-study-getoutloop,GEO results case study,"Show me a GEO case study",SEO/GEO,TODO,Use GetOutLoop as live case study — powerful E-E-A-T
25,AI Automation for Small Business in Malaysia: Where to Start,/blog/ai-automation-small-business-malaysia,AI automation small business Malaysia,"AI search visibility for small business Malaysia",AI Automation,TODO,SME market — large addressable segment
